date,score,name,misses,accuracy
08.01.2026 11:11,10,,3,0.7692307692307693
08.01.2026 11:12,1,,27,0.03571428571428571
08.01.2026 11:16,9,,2,0.8181818181818182
08.01.2026 11:17,1,,1,0.5
08.01.2026 11:19,0,,0,0.0
08.01.2026 11:22,0,,0,0.0
08.01.2026 11:27,0,,0,0.0
08.01.2026 11:28,1,,1,0.5
08.01.2026 11:28,0,,1,0.0
08.01.2026 11:29,1,,0,1.0
08.01.2026 11:30,0,,0,0.0
08.01.2026 11:30,0,,0,0.0
08.01.2026 11:31,0,,0,0.0
08.01.2026 11:32,0,,0,0.0
08.01.2026 11:34,2,,0,1.0
08.01.2026 11:35,0,,0,0.0
08.01.2026 11:36,0,,0,0.0
08.01.2026 11:37,0,,0,0.0
08.01.2026 11:43,0,,1,0.0
08.01.2026 11:44,0,,0,0.0
08.01.2026 11:44,2,,0,1.0
08.01.2026 11:45,1,,0,1.0
08.01.2026 11:46,2,,0,1.0
08.01.2026 11:48,1,,1,0.5
08.01.2026 11:49,2,,0,1.0
08.01.2026 11:50,7,,1,0.875
08.01.2026 19:23,10,,0,1.0
